seat,runid,attempt_successful,time_from_start,bridge_yesno,bridge_radio_state,bridge_default_selection,bridge_custom_entry,proxy_yesno,proxy_type,proxy_addr,proxy_port,proxy_username,proxy_password
X01,20160323-131237,T,19.4,F,none,obfs3,,F,,,,,
X01,20160324-132503,T,5.0,F,none,obfs3,,F,,,,,
X01,20160324-132503,T,263.0,F,none,obfs3,,F,,,,,
X01,20160324-132503,T,383.8,F,none,obfs3,,F,,,,,
X01,20160328-131621,T,60.7,T,default,obfs3,,F,HTTP,,,,
X01,20160328-155906,T,9.2,F,none,obfs3,,F,,,,,
X01,20160330-161552,T,6.7,F,none,obfs3,,F,,,,,
X07,20160323-132145,T,75.6,F,none,obfs3,,F,,,,,
X07,20160325-175116,T,5.6,F,none,obfs3,,F,,,,,
X07,20160328-132132,T,6.4,F,none,obfs3,,F,,,,,
X07,20160328-155946,T,8.6,F,none,obfs3,,F,,,,,
X13,20160323-132649,T,5.8,F,none,obfs3,,F,,,,,
X13,20160325-135307,T,9.6,F,none,obfs3,,F,,,,,
X13,20160328-132906,T,20.2,T,default,obfs3,,F,,,,,
X13,20160328-132906,T,329.4,T,default,obfs3,,F,,,,,
X13,20160328-160018,T,3.8,F,none,obfs3,,F,,,,,
X13,20160330-161459,T,19.6,F,none,obfs3,,F,,,,,
X19,20160328-133411,T,2.9,F,none,obfs3,,F,,,,,
X19,20160328-160042,T,2.6,F,none,obfs3,,F,,,,,
X25,20160328-133936,T,7.9,F,none,obfs3,,F,,,,,
X25,20160328-155934,T,8.3,F,none,obfs3,,F,,,,,
X31,20160328-134440,T,6.6,F,none,obfs3,,F,,,,,
X02,20160323-131739,T,20.2,F,none,obfs3,,F,,,,,
X02,20160324-132450,T,34.3,T,default,obfs3,,F,,,,,
X02,20160325-135219,T,18.5,F,none,obfs3,,F,,,,,
X02,20160328-131704,T,8.3,F,none,obfs3,,F,,,,,
X02,20160328-155914,T,124.6,T,default,obfs3,,F,,,,,
X02,20160328-155914,T,437.4,T,default,obfs3,,F,,,,,
X08,20160325-141856,T,312.5,T,default,obfs3,,F,HTTP,128.32.339.21,,,
X08,20160325-175134,F,13.2,F,none,obfs3,,F,,,,,
X08,20160325-175134,T,71.4,T,default,obfs3,,F,,,,,
X08,20160328-132205,T,168.7,T,default,obfs3,,F,,,,,
X08,20160328-155945,T,85.1,F,default,obfs3,,F,,,,,
X08,20160330-161522,T,109.4,F,none,obfs3,,F,,,,,
X14,20160323-132643,T,6.8,F,none,obfs3,,F,,,,,
X14,20160328-132941,F,14.0,F,none,obfs3,,F,,,,,
X14,20160328-132941,T,175.7,F,none,obfs3,,F,,,,,
X14,20160328-160023,T,14.0,F,none,obfs3,,F,,,,,
X14,20160330-161456,T,16.7,F,none,obfs3,,F,,,,,
X20,20160328-133444,T,31.2,F,none,obfs3,,F,,,,,
X20,20160328-160053,T,55.6,F,none,obfs3,,F,,,,,
X20,20160330-161448,T,12.8,F,none,obfs3,,F,,,,,
X26,20160328-134003,T,163.1,T,default,obfs3,,F,,,,,
X26,20160328-155940,T,51.3,F,none,obfs3,,F,,,,,
X03,20160323-131622,F,6.6,F,none,obfs3,,F,,,,,
X03,20160323-131622,T,196.0,T,default,obfs3,,F,,,,,
X03,20160324-132509,F,15.9,F,none,obfs3,,F,,,,,
X03,20160324-132509,F,137.6,F,none,obfs3,,F,,,,,
X03,20160324-132509,F,360.5,F,none,obfs3,,F,,,,,
X03,20160324-132509,T,1501.5,T,default,obfs3,,F,,,,,
X03,20160325-175037,F,4.9,F,none,obfs3,,F,,,,,
X03,20160325-175037,T,132.0,T,default,obfs3,,F,,,,,
X03,20160328-131745,F,13.0,F,none,obfs3,,F,,,,,
X03,20160328-131745,T,192.0,T,default,obfs3,,F,HTTP,,,,
X03,20160328-155919,F,14.6,F,none,obfs3,,F,,,,,
X03,20160328-155919,F,111.8,F,none,obfs3,,F,,,,,
X03,20160328-155919,F,261.8,T,default,obfs3,,F,,,,,
X03,20160328-155919,F,274.1,T,default,obfs3,,F,,,,,
X03,20160328-155919,F,286.4,F,none,obfs3,,F,,,,,
X03,20160328-155919,T,821.9,T,default,obfs3,,F,,,,,
X03,20160330-161602,T,23.2,T,default,obfs3,,F,,,,,
X03,20160331-174710,F,7.6,F,none,obfs3,,F,,,,,
X03,20160331-174710,F,288.9,F,none,obfs3,,F,,,,,
X03,20160331-174710,F,388.9,F,none,obfs3,,F,,,,,
X03,20160331-174710,F,606.5,F,none,obfs3,,F,,,,,
X03,20160331-174710,T,726.7,T,default,obfs3,,F,,,,,
X09,20160323-132434,T,22.5,T,default,obfs3,,F,,,,,
X09,20160328-132425,F,6.9,F,none,obfs3,,F,,,,,
X09,20160328-132425,T,218.0,T,default,obfs3,,F,,,,,
X09,20160328-160000,F,6.0,F,none,obfs3,,F,,,,,
X09,20160328-160000,F,103.6,F,none,obfs3,,F,,,,,
X09,20160328-160000,F,336.9,F,none,obfs3,,F,,,,,
X09,20160328-160000,T,363.7,T,default,obfs3,,F,HTTP,,,,
X09,20160328-160000,T,583.0,T,default,obfs3,,F,,,,,
X09,20160330-161509,F,13.4,F,none,obfs3,,F,,,,,
X09,20160330-161509,T,166.1,T,default,obfs3,,F,,,,,
X15,20160323-132627,T,99.2,T,default,obfs3,,F,,,,,
X15,20160328-133005,F,23.5,F,none,obfs3,,F,,,,,
X15,20160328-133005,F,179.3,F,none,obfs3,,F,,,,,
X15,20160328-133005,T,263.1,T,default,obfs3,,F,,,,,
X15,20160328-160026,F,8.8,F,none,obfs3,,F,,,,,
X15,20160328-160026,T,132.7,T,default,obfs3,,F,,,,,
X21,20160323-133257,F,7.4,F,none,obfs3,,F,,,,,
X21,20160328-133650,F,5.7,F,none,obfs3,,F,,,,,
X21,20160328-133650,T,146.6,T,default,obfs3,,F,,,,,
X21,20160328-155918,F,27.3,T,default,flashproxy,,F,,,,,
X21,20160328-155918,T,141.0,T,default,obfs3,,F,SOCKS5,https;//en.wikipedia.org/wiki/Main_page,,,
X21,20160328-155918,T,389.6,T,default,meek-azure,,F,,https;//en.wikipedia.org/wiki/Main_page,,,
X27,20160328-134034,F,7.0,F,none,obfs3,,F,,,,,
X27,20160328-134034,F,260.6,F,none,obfs3,,F,,,,,
X27,20160328-134034,T,317.2,T,default,obfs3,,F,,,,,
X27,20160328-155941,F,6.3,F,none,obfs3,,F,,,,,
X27,20160328-155941,T,133.1,T,default,obfs3,,F,HTTP,,,,
X04,20160323-131714,F,18.1,F,none,obfs3,,F,,,,,
X04,20160323-131714,F,29.7,T,default,obfs3,,F,,,,,
X04,20160323-131714,T,38.0,T,default,obfs3,,F,,,,,
X04,20160324-132523,F,24.2,F,none,obfs3,,F,,,,,
X04,20160324-132523,F,108.2,F,none,obfs3,,F,,,,,
X04,20160324-132523,T,176.1,T,default,obfs3,,F,,,,,
X04,20160324-155023,F,11.6,F,none,obfs3,,F,,,,,
X04,20160324-155023,T,153.8,T,default,obfs3,,F,,,,,
X04,20160328-131820,F,35.1,F,none,obfs3,,F,,,,,
X04,20160328-131820,F,385.9,F,none,obfs3,,F,,,,,
X04,20160328-131820,F,547.8,F,none,obfs3,,F,,,,,
X04,20160328-131820,F,606.0,F,none,obfs3,,F,,,,,
X04,20160328-131820,F,666.1,F,none,obfs3,,F,,,,,
X04,20160328-131820,F,717.3,F,none,obfs3,,F,,,,,
X04,20160328-131820,F,761.1,F,none,obfs3,,F,,,,,
X04,20160328-131820,F,1019.0,F,none,obfs3,,F,,,,,
X04,20160328-131820,F,1176.0,F,none,obfs3,,F,,,,,
X04,20160328-131820,F,1209.8,F,none,obfs3,,F,,,,,
X04,20160328-131820,F,1242.0,F,none,obfs3,,F,,,,,
X04,20160328-131820,F,1420.3,F,none,obfs3,,F,,,,,
X04,20160328-131820,F,1689.2,F,none,obfs3,,F,,,,,
X04,20160328-131820,T,1879.4,T,default,obfs3,,F,,,,,
X04,20160328-155923,T,649.7,T,default,obfs3,,F,HTTP,,,,
X04,20160330-163058,T,129.5,T,default,obfs3,,F,,,,,
X04,20160330-181928,F,11.5,F,none,obfs3,,F,,,,,
X04,20160330-181928,F,1471.1,F,none,obfs3,,F,,,,,
X04,20160330-181928,F,1951.5,F,none,obfs3,,F,,,,,
X04,20160331-153002,T,45.4,T,default,obfs3,,F,,,,,
X10,20160328-132828,F,62.1,F,none,obfs3,,F,,,,,
X10,20160328-132828,F,698.6,F,none,obfs3,,T,SOCKS5,128.32.229.23,8080,,
X10,20160328-132828,F,1084.3,F,none,obfs3,,T,HTTP,128.32.229.23,8080,,
X10,20160328-132828,F,1128.5,F,none,obfs3,,T,HTTP,128.32.229.23,8080,,
X10,20160328-132828,F,1134.5,F,none,obfs3,,T,HTTP,128.32.229.23,8080,,
X10,20160328-132828,F,1165.0,T,default,obfs3,,T,HTTP,128.32.229.23,8080,,
X10,20160328-132828,F,1321.4,T,default,obfs3,,T,SOCKS4,128.32.229.23,8080,,
X10,20160328-132828,F,1851.5,T,default,obfs3,,T,SOCKS5,128.32.229.23,8080,,
X10,20160328-132828,F,2400.7,T,default,obfs3,,T,SOCKS5,128.32.229.23,8080,,
X10,20160328-160005,F,11.7,F,none,obfs3,,F,,,,,
X10,20160328-160005,F,355.3,T,default,obfs3,,T,HTTP,128.32.229.23,,,
X10,20160328-160005,T,885.4,T,default,obfs3,,F,,128.32.229.23,,,
X10,20160330-181958,F,15.3,F,none,obfs3,,F,,,,,
X10,20160330-181958,T,102.5,T,default,obfs3,,F,,,,,
X10,20160331-153028,F,14.6,F,none,obfs3,,F,,,,,
X10,20160331-153028,F,196.2,F,none,obfs3,,F,,,,,
X10,20160331-153028,F,292.0,F,none,obfs3,,F,,,,,
X10,20160331-153028,F,2399.4,F,none,obfs3,,F,,,,,
X10,20160331-153028,F,2412.8,F,none,obfs3,,F,,,,,
X16,20160323-132616,F,12.0,F,none,obfs3,,F,,,,,
X16,20160323-132616,T,62.2,T,default,obfs3,,F,,,,,
X16,20160328-133044,F,17.9,F,none,obfs3,,F,,,,,
X16,20160328-133044,F,89.1,F,none,obfs3,,F,,,,,
X16,20160328-133044,F,95.1,F,none,obfs3,,F,,,,,
X16,20160328-133044,T,295.2,T,default,obfs3,,F,,,,,
X16,20160328-160027,F,11.7,F,none,obfs3,,F,,,,,
X16,20160328-160027,T,135.3,T,default,obfs3,,F,,,,,
X16,20160330-161459,F,14.8,F,none,obfs3,,F,,,,,
X16,20160330-161459,T,268.6,T,default,obfs3,,F,,,,,
X16,20160331-153111,F,8.4,F,none,obfs3,,F,,,,,
X16,20160331-153111,F,157.6,F,none,obfs3,,F,,,,,
X16,20160331-153111,T,284.3,T,default,obfs3,,F,,,,,
X22,20160328-133742,F,11.2,F,none,obfs3,,F,,,,,
X22,20160328-133742,T,333.2,T,default,obfs3,,F,,,,,
X22,20160328-155920,T,95.3,T,default,obfs3,,F,,,,,
X28,20160328-155947,F,17.3,F,none,obfs3,,F,,,,,
X28,20160328-155947,F,92.7,F,none,obfs3,,F,,,,,
X28,20160328-155947,F,218.3,F,none,obfs3,,F,,,,,
X28,20160328-155947,T,437.4,T,default,obfs3,,F,,,,,
X05,20160324-132535,F,5.2,F,none,obfs3,,F,,,,,
X05,20160324-132535,F,152.1,F,none,obfs3,,F,,,,,
X05,20160324-132535,F,445.7,F,none,obfs3,,F,,,,,
X05,20160324-155019,F,7.5,F,none,obfs3,,F,,,,,
X05,20160324-155019,F,80.7,F,none,obfs3,,F,,,,,
X05,20160324-155019,F,242.8,T,default,obfs3,,F,HTTP,wikipedia.com,,,
X05,20160324-155019,F,448.9,T,default,obfs3,,F,HTTP,wikipedia.com,,,
X05,20160324-155019,F,1066.8,T,default,obfs3,,F,HTTP,wikipedia.com,,,
X05,20160324-155019,F,1126.4,F,none,obfs3,,F,HTTP,wikipedia.com,,,
X05,20160324-155019,F,1167.9,T,default,obfs3,,F,,wikipedia.com,,,
X05,20160324-155019,F,1281.0,T,default,meek-google,,F,,wikipedia.com,,,
X05,20160324-155019,T,1361.1,T,default,meek-amazon,,F,,wikipedia.com,,,
X05,20160328-132029,F,8.8,F,none,obfs3,,F,,,,,
X05,20160328-132029,F,136.2,T,default,obfs3,,F,,,,,
X05,20160328-132029,F,248.3,T,default,obfs3,,F,HTTP,,,,
X05,20160328-132029,F,326.5,T,default,flashproxy,,F,,,,,
X05,20160328-132029,F,374.1,T,default,fte,,F,,,,,
X05,20160328-132029,F,414.6,F,none,fte,,F,,,,,
X05,20160328-132029,F,447.6,T,default,fte-ipv6,,F,,,,,
X05,20160328-132029,T,505.7,T,default,meek-amazon,,F,,,,,
X05,20160328-155932,F,7.4,F,none,obfs3,,F,,,,,
X05,20160328-155932,F,455.0,F,none,obfs3,,F,,,,,
X05,20160328-155932,F,726.0,T,default,flashproxy,,F,,,,,
X05,20160328-155932,F,914.3,T,default,flashproxy,,F,,,,,
X05,20160328-155932,T,1253.0,T,default,meek-amazon,,F,,,,,
X05,20160330-161524,F,24.3,F,none,obfs3,,F,,,,,
X05,20160330-161524,F,778.5,T,default,obfs3,,F,HTTP,,,,
X05,20160330-161524,F,1125.3,T,default,obfs3,,F,,,,,
X05,20160330-161524,T,1193.0,T,default,meek-amazon,,F,,,,,
X05,20160331-174656,F,8.4,F,none,obfs3,,F,,,,,
X05,20160331-174656,F,128.1,F,none,obfs3,,F,,,,,
X05,20160331-174656,F,284.7,T,default,obfs3,,F,,,,,
X05,20160331-174656,T,503.1,T,default,meek-amazon,,F,,,,,
X11,20160323-132549,F,357.6,F,none,obfs3,,F,,,,,
X11,20160323-132549,F,568.4,T,default,obfs3,,F,,,,,
X11,20160323-132549,T,726.6,T,default,meek-amazon,,F,,,,,
X11,20160328-132535,F,26.3,F,none,obfs3,,F,,,,,
X11,20160328-132535,F,247.6,T,default,obfs3,,F,,,,,
X11,20160328-132535,F,544.2,T,default,obfs3,,F,,,,,
X11,20160328-132535,T,883.7,T,default,meek-google,,F,,,,,
X11,20160328-160009,F,4.8,F,none,obfs3,,F,,,,,
X11,20160328-160009,F,243.6,T,default,obfs3,,F,,,,,
X11,20160328-160009,F,409.9,T,default,meek-google,,F,,,,,
X11,20160328-160009,T,429.1,T,default,meek-azure,,F,,,,,
X11,20160330-161511,F,8.5,F,none,obfs3,,F,,,,,
X11,20160330-161511,F,128.7,F,none,obfs3,,F,,,,,
X11,20160330-161511,F,363.7,T,default,obfs3,,F,,,,,
X11,20160331-174655,F,4.9,F,none,obfs3,,F,,,,,
X11,20160331-174655,F,454.4,T,default,obfs3,,F,,,,,
X11,20160331-174655,F,652.0,T,default,flashproxy,,F,HTTP,,,,
X11,20160331-174655,F,712.0,T,default,flashproxy,,F,,,,,
X11,20160331-174655,F,1002.4,F,none,flashproxy,,F,SOCKS4,,,,
X11,20160331-174655,F,1203.5,T,default,flashproxy,,F,,,,,
X11,20160331-174655,F,1604.2,T,default,flashproxy,,F,,,,,
X11,20160331-174655,F,1663.8,T,default,obfs3,,F,HTTP,rt.torproject.org,,,
X11,20160331-174655,F,2121.0,T,default,obfs3,,F,HTTP,rt.torproject.org,,,
X17,20160323-133002,F,10.1,F,none,obfs3,,F,,,,,
X17,20160323-133002,F,1343.7,F,none,obfs3,,F,,,,,
X17,20160323-133002,F,1497.2,F,none,obfs3,,F,,,,,
X17,20160328-133311,F,7.0,F,none,obfs3,,F,,,,,
X17,20160328-133311,F,242.4,F,none,obfs3,,F,,,,,
X17,20160328-133311,F,347.4,T,default,obfs3,,F,,,,,
X17,20160328-133311,F,640.1,T,default,meek-google,,F,HTTP,https://en.wikipedia.org/wiki/Main_Page,,,
X17,20160328-133311,T,671.4,T,default,meek-google,,F,,,,,
X17,20160328-160037,F,8.2,F,none,obfs3,,F,,,,,
X17,20160328-160037,F,176.4,F,none,obfs3,,F,,,,,
X17,20160328-160037,F,259.5,F,none,obfs3,,F,,,,,
X17,20160328-160037,F,290.7,T,default,obfs3,,F,,,,,
X17,20160328-160037,F,433.9,T,default,obfs3,,F,,,,,
X17,20160328-160037,F,607.7,T,default,obfs3,,F,SOCKS5,localhost,,,
X17,20160328-160037,F,852.5,T,default,obfs3,,F,HTTP,localhost,,,
X17,20160328-160037,F,929.7,T,default,obfs3,,F,HTTP,localhost,,,
X17,20160328-160037,F,1072.3,T,default,obfs3,,F,SOCKS5,127.0.0.1,9150,,
X17,20160328-160037,F,1121.9,T,default,obfs3,,F,SOCKS5,128.32.229.76,,,
X17,20160328-160037,F,1340.2,T,default,obfs3,,F,SOCKS5,128.32.229.76,,,
X17,20160328-160037,F,1392.5,T,default,obfs3,,F,HTTP,127.0.0.1,8118,,
X17,20160328-160037,F,1547.6,T,default,obfs3,,F,HTTP,127.0.0.1,9051,,
X17,20160328-160037,F,1965.1,T,default,obfs3,,F,SOCKS5,127.0.0.1,9050,,
X17,20160328-160037,F,2056.0,T,default,obfs3,,F,SOCKS5,127.0.0.1,9150,,
X17,20160328-160037,F,2335.2,T,default,obfs3,,F,SOCKS5,127.0.0.1,9150,,
X17,20160328-160037,F,2448.7,T,default,obfs3,,F,SOCKS5,127.0.0.1,9150,,
X17,20160330-161437,F,47.9,T,default,obfs3,,F,,,,,
X17,20160330-161437,T,243.9,T,default,meek-google,,F,,,,,
X18,20160330-170145,F,1221.8,F,none,obfs3,,F,,,,,
X18,20160330-170145,F,1974.3,T,custom,obfs3,"INST f7a2a98d15f05e35 2016-03-23T21:12:08.500Z {""type"":""start""}
INST f7a2a98d15f05e35 2016-03-23T21:12:09.500Z {""type"":""select"",""target_tagname"":""menulist"",""target_id"":""proxyType"",""value"":""""}
INST f7a2a98d15f05e35 2016-03-23T21:12:09.500Z {""type"":""wizardnext"",""target_tagname"":""wizard"",""target_id"":""TorNetworkSettings""}
INST f7a2a98d15f05e35 2016-03-23T21:12:09.500Z {""type"":""pageshow"",""target_tagname"":""wizardpage"",""target_id"":""first""}
INST f7a2a98d15f05e35 2016-03-23T21:12:09.500Z {""type"":""load"",""target_id"":""configuration""}
INST f7a2a98d15f05e35 2016-03-23T21:12:09.500Z {""type"":""select"",""target_tagname"":""menulist"",""target_id"":""defaultBridgeType"",""value"":""obfs3""}
INST f7a2a98d15f05e35 2016-03-23T21:12:27.900Z {""type"":""click"",""target_tagname"":""button"",""target_id"":""connect_button"",""detail"":1}
INST f7a2a98d15f05e35 2016-03-23T21:12:27.900Z {""type"":""pagehide"",""target_tagname"":""wizardpage"",""target_id"":""first""}
INST f7a2a98d15f05e35 2016-03-23T21:12:27.900Z {""type"":""pageadvanced"",""target_tagname"":""wizardpage"",""target_id"":""first""}
INST f7a2a98d15f05e35 2016-03-23T21:12:27.900Z {""type"":""wizardnext"",""target_tagname"":""wizard"",""target_id"":""TorNetworkSettings""}
INST f7a2a98d15f05e35 2016-03-23T21:12:27.900Z {""type"":""pageshow"",""target_tagname"":""wizardpage"",""target_id"":""inlineprogress""}
INST f7a2a98d15f05e35 2016-03-23T21:12:27.900Z {""type"":""command"",""target_tagname"":""button"",""target_id"":""connect_button""}
INST f7a2a98d15f05e35 2016-03-23T21:12:28.100Z {""type"":""progresschanged"",""target_tagname"":""progressmeter"",""target_id"":""progressMeter"",""value"":5}
INST f7a2a98d15f05e35 2016-03-23T21:12:28.100Z {""type"":""good"",""target_tagname"":""image"",""target_id"":""progressbar"",""configurationSettings"":""nobridge-noproxy"",""number"":1}
INST f7a2a98d15f05e35 2016-03-23T21:12:28.100Z {""type"":""progresschanged"",""target_tagname"":""progressmeter"",""target_id"":""progressMeter"",""value"":10}
INST f7a2a98d15f05e35 2016-03-23T21:12:28.100Z {""type"":""good"",""target_tagname"":""image"",""target_id"":""progressbar"",""configurationSettings"":""nobridge-noproxy"",""number"":1}
INST f7a2a98d15f05e35 2016-03-23T21:12:28.200Z {""type"":""progresschanged"",""target_tagname"":""progressmeter"",""target_id"":""progressMeter"",""value"":15}
INST f7a2a98d15f05e35 2016-03-23T21:12:28.200Z {""type"":""good"",""target_tagname"":""image"",""target_id"":""progressbar"",""configurationSettings"":""nobridge-noproxy"",""number"":1}
INST f7a2a98d15f05e35 2016-03-23T21:12:28.300Z {""type"":""progresschanged"",""target_tagname"":""progressmeter"",""target_id"":""progressMeter"",""value"":20}
INST f7a2a98d15f05e35 2016-03-23T21:12:28.300Z {""type"":""good"",""target_tagname"":""image"",""target_id"":""progressbar"",""configurationSettings"":""nobridge-noproxy"",""number"":1}
INST f7a2a98d15f05e35 2016-03-23T21:12:28.400Z {""type"":""progresschanged"",""target_tagname"":""progressmeter"",""target_id"":""progressMeter"",""value"":25}
INST f7a2a98d15f05e35 2016-03-23T21:12:28.400Z {""type"":""good"",""target_tagname"":""image"",""target_id"":""progressbar"",""configurationSettings"":""nobridge-noproxy"",""number"":2}
INST f7a2a98d15f05e35 2016-03-23T21:12:32.400Z {""type"":""progresschanged"",""target_tagname"":""progressmeter"",""target_id"":""progressMeter"",""value"":40}
INST f7a2a98d15f05e35 2016-03-23T21:12:32.400Z {""type"":""good"",""target_tagname"":""image"",""target_id"":""progressbar"",""configurationSettings"":""nobridge-noproxy"",""number"":2}
INST f7a2a98d15f05e35 2016-03-23T21:12:32.700Z {""type"":""progresschanged"",""target_tagname"":""progressmeter"",""target_id"":""progressMeter"",""value"":45}
INST f7a2a98d15f05e35 2016-03-23T21:12:32.700Z {""type"":""good"",""target_tagname"":""image"",""target_id"":""progressbar"",""configurationSettings"":""nobridge-noproxy"",""number"":2}
INST f7a2a98d15f05e35 2016-03-23T21:12:33.700Z {""type"":""progresschanged"",""target_tagname"":""progressmeter"",""target_id"":""progressMeter"",""value"":50}
INST f7a2a98d15f05e35 2016-03-23T21:12:33.700Z {""type"":""good"",""target_tagname"":""image"",""target_id"":""progressbar"",""configurationSettings"":""nobridge-noproxy"",""number"":2}
INST f7a2a98d15f05e35 2016-03-23T21:12:35.900Z {""type"":""progresschanged"",""target_tagname"":""progressmeter"",""target_id"":""progressMeter"",""value"":51}
INST f7a2a98d15f05e35 2016-03-23T21:12:35.900Z {""type"":""good"",""target_tagname"":""image"",""target_id"":""progressbar"",""configurationSettings"":""nobridge-noproxy"",""number"":2}
INST f7a2a98d15f05e35 2016-03-23T21:12:36.100Z {""type"":""progresschanged"",""target_tagname"":""progressmeter"",""target_id"":""progressMeter"",""value"":52}
INST f7a2a98d15f05e35 2016-03-23T21:12:36.100Z {""type"":""good"",""target_tagname"":""image"",""target_id"":""progressbar"",""configurationSettings"":""nobridge-noproxy"",""number"":2}
INST f7a2a98d15f05e35 2016-03-23T21:12:36.400Z {""type"":""progresschanged"",""target_tagname"":""progressmeter"",""target_id"":""progressMeter"",""value"":54}
INST f7a2a98d15f05e35 2016-03-23T21:12:36.400Z {""type"":""good"",""target_tagname"":""image"",""target_id"":""progressbar"",""configurationSettings"":""nobridge-noproxy"",""number"":2}
INST f7a2a98d15f05e35 2016-03-23T21:12:36.800Z {""type"":""progresschanged"",""target_tagname"":""progressmeter"",""target_id"":""progressMeter"",""value"":56}
INST f7a2a98d15f05e35 2016-03-23T21:12:36.800Z {""type"":""good"",""target_tagname"":""image"",""target_id"":""progressbar"",""configurationSettings"":""nobridge-noproxy"",""number"":2}
INST f7a2a98d15f05e35 2016-03-23T21:12:38.800Z {""type"":""progresschanged"",""target_tagname"":""progressmeter"",""target_id"":""progressMeter"",""value"":59}
INST f7a2a98d15f05e35 2016-03-23T21:12:38.800Z {""type"":""good"",""target_tagname"":""image"",""target_id"":""progressbar"",""configurationSettings"":""nobridge-noproxy"",""number"":2}
INST f7a2a98d15f05e35 2016-03-23T21:12:39.200Z {""type"":""progresschanged"",""target_tagname"":""progressmeter"",""target_id"":""progressMeter"",""value"":63}
INST f7a2a98d15f05e35 2016-03-23T21:12:39.200Z {""type"":""good"",""target_tagname"":""image"",""target_id"":""progressbar"",""configurationSettings"":""nobridge-noproxy"",""number"":2}
INST f7a2a98d15f05e35 2016-03-23T21:12:39.200Z {""type"":""progresschanged"",""target_tagname"":""progressmeter"",""target_id"":""progressMeter"",""value"":69}
INST f7a2a98d15f05e35 2016-03-23T21:12:39.200Z {""type"":""good"",""target_tagname"":""image"",""target_id"":""progressbar"",""configurationSettings"":""nobridge-noproxy"",""number"":2}
INST f7a2a98d15f05e35 2016-03-23T21:13:06.900Z {""type"":""progresschanged"",""target_tagname"":""progressmeter"",""target_id"":""progressMeter"",""value"":69}
INST f7a2a98d15f05e35 2016-03-23T21:13:06.900Z {""type"":""good"",""target_tagname"":""image"",""target_id"":""progressbar"",""configurationSettings"":""nobridge-noproxy"",""number"":2}
INST f7a2a98d15f05e35 2016-03-23T21:13:13.200Z {""type"":""progresschanged"",""target_tagname"":""progressmeter"",""target_id"":""progressMeter"",""value"":74}
INST f7a2a98d15f05e35 2016-03-23T21:13:13.200Z {""type"":""good"",""target_tagname"":""image"",""target_id"":""progressbar"",""configurationSettings"":""nobridge-noproxy"",""number"":2}
INST f7a2a98d15f05e35 2016-03-23T21:13:14.200Z {""type"":""progresschanged"",""target_tagname"":""progressmeter"",""target_id"":""progressMeter"",""value"":80}
INST f7a2a98d15f05e35 2016-03-23T21:13:14.200Z {""type"":""good"",""target_tagname"":""image"",""target_id"":""progressbar"",""configurationSettings"":""nobridge-noproxy"",""number"":2}
INST f7a2a98d15f05e35 2016-03-23T21:13:14.200Z {""type"":""progresschanged"",""target_tagname"":""progressmeter"",""target_id"":""progressMeter"",""value"":90}
INST f7a2a98d15f05e35 2016-03-23T21:13:14.200Z {""type"":""good"",""target_tagname"":""image"",""target_id"":""progressbar"",""configurationSettings"":""nobridge-noproxy"",""number"":2}
INST f7a2a98d15f05e35 2016-03-23T21:13:15.000Z {""type"":""progresschanged"",""target_tagname"":""progressmeter"",""target_id"":""progressMeter"",""value"":100}
INST f7a2a98d15f05e35 2016-03-23T21:13:15.000Z {""type"":""good"",""target_tagname"":""image"",""target_id"":""progressbar"",""configurationSettings"":""nobridge-noproxy"",""number"":3}
INST f7a2a98d15f05e35 2016-03-23T21:13:15.300Z {""type"":""unload"",""target_id"":""configuration""}
INST ae5210ab461a9c39 2016-03-23T21:32:49.300Z {""type"":""start""}
INST ae5210ab461a9c39 2016-03-23T21:32:50.300Z {""type"":""select"",""target_tagname"":""menulist"",""target_id"":""proxyType"",""value"":""""}
INST ae5210ab461a9c39 2016-03-23T21:32:50.300Z {""type"":""wizardnext"",""target_tagname"":""wizard"",""target_id"":""TorNetworkSettings""}
INST ae5210ab461a9c39 2016-03-23T21:32:50.300Z {""type"":""pageshow"",""target_tagname"":""wizardpage"",""target_id"":""first""}
INST ae5210ab461a9c39 2016-03-23T21:32:50.300Z {""type"":""load"",""target_id"":""configuration""}
INST ae5210ab461a9c39 2016-03-23T21:32:50.300Z {""type"":""select"",""target_tagname"":""menulist"",""target_id"":""defaultBridgeType"",""value"":""obfs3""}
INST ae5210ab461a9c39 2016-03-23T21:32:50.400Z {""type"":""progresschanged"",""target_tagname"":""progressmeter"",""target_id"":""progressMeter"",""value"":85}
INST ae5210ab461a9c39 2016-03-23T21:32:50.400Z {""type"":""good"",""target_tagname"":""image"",""target_id"":""progressbar"",""configurationSettings"":""nobridge-noproxy"",""number"":2}
